,neg,neu,pos,compound
1143,0.0,1.0,0.0,0.0
1144,0.0,1.0,0.0,0.0
1145,0.0,0.756,0.244,0.4404
1146,0.0,0.645,0.355,0.5106
1147,0.0,0.645,0.355,0.5106
1148,0.0,0.638,0.362,0.5267
1149,0.0,0.902,0.098,0.0772
1150,0.0,0.253,0.747,0.5994
1151,0.0,1.0,0.0,0.0
1152,0.0,0.684,0.316,0.7184
1153,0.0,0.738,0.262,0.4927
1154,0.0,0.686,0.314,0.6705
1155,0.0,0.745,0.255,0.34
1156,0.0,0.763,0.237,0.4767
