,Date,Title,Link,Ticker
68,2019-12-05 08:02:00,"Dow Jones Futures: Stock Market Gets Bullish Wake-Up Call; RH, Slack, Hot IPO Are Earnings Movers",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-bullish-action-rh-slack-ipo-progyny-earnings/?src=A00220,PGNY
69,2019-12-04 16:49:00,Hot IPO Progyny Beats Earnings Views In First Report; Stock Jumps Toward Buy Point,https://www.investors.com/news/progyny-stock-progyny-earnings-q3-2019-ipo-base-buy-point/?src=A00220,PGNY
70,2019-12-04 16:05:00,"Progyny, Inc. Announces Third Quarter 2019 Results",https://finance.yahoo.com/news/progyny-inc-announces-third-quarter-210500754.html,PGNY
71,2019-12-02 07:33:00,Salesforce Leads 5 Stocks Near Buy Points With Earnings Due,https://www.investors.com/news/salesforce-stock-dollar-general-progyny-stock-near-buys-earnings-due/?src=A00220,PGNY
72,2019-11-29 14:02:00,IBD Stock Of The Day: Profitable IPO Progyny Nears First-Ever Buy Point,https://www.investors.com/research/ibd-stock-of-the-day/progyny-stock-profitable-ipo-near-buy-point/?src=A00220,PGNY
73,2019-11-29 05:52:00,PGNY Forms IPO Base,https://finance.yahoo.com/video/pgny-forms-ipo-105209287.html,PGNY
74,2019-11-26 09:21:00,"Progyny, Inc. Announces Participation in Upcoming Investor Conference",https://finance.yahoo.com/news/progyny-inc-announces-participation-upcoming-142126931.html,PGNY
75,2019-11-18 15:30:00,"Progyny, Inc. Announces Details for Its Third Quarter Results Report",https://finance.yahoo.com/news/progyny-inc-announces-details-third-203027888.html,PGNY
76,2019-11-03 08:00:00,"Carvana, DocuSign, InMode Lead Recent IPO Stocks Near Buy Zones",https://www.investors.com/research/ipo-stocks-carvana-docusign-inmode-azul-progyny-ipo-near-buy-zone/?src=A00220,PGNY
77,2019-10-29 17:05:00,"Progyny, Inc. Announces Closing of Initial Public Offering and Full Exercise of Underwriters Option to Purchase Additional Shares",https://finance.yahoo.com/news/progyny-inc-announces-closing-initial-210552762.html,PGNY
78,2019-10-25 16:52:00,Fertility Service Progyny Climbs After Below-Range IPO,https://finance.yahoo.com/news/fertility-progyny-climbs-debut-below-175818378.html,PGNY
79,2019-10-24 20:01:00,"Progyny, Inc. Announces Pricing of Initial Public Offering",https://finance.yahoo.com/news/progyny-inc-announces-pricing-initial-000113739.html,PGNY
